Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Dmg lvl 1,Dmg lvl 5,Dmg lvl 10,Dmg lvl 17
Absorb,Grass,STR/DEX,1 action,15,Instantaneous,Melee,"You attempt to absorb some of an enemy’s health. Make a melee attack. On a hit, the creature takes 1d4 + MOVE grass damage. Half the damage done is restored by the user.",1d4+Move,2d4+Move,1d12+Move,4d4+Move
Acid,Poison,DEX,1 action,15,Instantaneous,30ft cone,"You create a stream of hot acid in a 30 foot cone, centered on you. Creatures caught in the cone must succeed on a DEX save, taking 1d6 + MOVE poison damage on a fail, and half as much on a success.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Acid Armor,Poison,CON,1 action,10,"1 minute, Concentration",Self,"You are surrounded by a shield of thick acid for the duration. During this time, your AC increases by 2, and any creature that hits you with a melee attack must succeed on a CON save or take 1d6 poison damage.",1d6,1d6,2d6,2d6
Acid Spray,Poison,DEX/CON,1 action,10,1 minute,30ft,"You spit a spray of acidic fluid that works to melt away an opponent's defense. Make a ranged attack against a target, dealing 1d6 + MOVE poison damage on a hit. On a hit, the target must make a CON save against your Move DC. On a failure, the target's AC is reduce by 1 for the duration. This decrease may be stacked on an opponent, up to a maximum of -3 to its AC.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Acrobatics,Flying,DEX,1 action,5,Instantaneous,Melee,"You nimbly attack a target with acrobatic prowess. Make a melee attack, dealing 3d6 + MOVE flying damage on a hit. If you are holding an item when you activate this move, the damage is halved.",3d6+Move,3d8+Move,6d6+Move,7d8+Move
Acupressure,Normal,None,1 action,20,1 minute,Self,"You apply pressure to different stress points on your body, boosting a random ability for the duration. When activating this move, roll a d6 and gain the following boost based on the result. When activated on subsequent turns, any previous effect ends. 

| d6  | Effect |
|  1  | +1 to attack rolls |
|  2  | +2 to damage rolls |
|  3  | +10 temporary HP |
|  4  | +1 to saving throws |
|  5  | Critical Hit range +1 |
|  6  | +1 to Armor Class |
",,,,
Aerial Ace,Flying,DEX,1 action,5,Instantaneous,Melee,"You dive at an opponent with such speed that it is impossible for them to avoid.  This move is guaranteed to hit for 1d6 + MOVE flying damage, unless during the invulnerable stage of Fly, Dig, Bounce, Dive, etc. moves.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Aeroblast,Flying,DEX,1 action,3,Instantaneous,50ft line,"You shoot out a powerful vortex of air that shreds through opponents. Any creature caught in a 50 foot line, 5 feet wide, must make a DEX save against your Move DC, taking 4d4 + MOVE flying damage on a fail, and half as much on a save.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
After You,Normal,None,1 bonus action,3,Instantaneous,50ft,"As a bonus action, choose an ally or opponent in range that has not yet taken its turn in the current round. The target must immediately take its turn now, and return to normal initiative order in the next round.",,,,
Agility,Psychic,None,1 bonus action,15,1 minute,Self,You hone your abilities and feel a surge of speed course through your veins. Increase your movement speed by 20 feet for the duration. Applicable to any movement type the creature has.,,,,
