Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
1,1,3,Bulbasaur,Grass/Poison,0.5,13,6,17,,,30,,,,13,12,12,6,10,10,1,1,Ivysaur,3,STR,,,"Athletics, Nature","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Overgrow,,Chlorophyll,"Starting Moves: Tackle, Growl
Level 2: Vine Whip, Leech Seed
Level 6: Poison Powder, Sleep Powder, Take Down, Razor Leaf
Level 10: Sweet Scent, Growth, Double-Edge
Level 14: Worry Seed, Synthesis
Level 18: Seed Bomb

TM: 01, 06, 09, 10, 11, 16, 17, 20, 21, 22, 27, 32, 36, 42, 44, 45, 48, 49, 53, 75, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Chlorophyll","Bulbasaur can evolve into Ivysaur at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
2,2,3,Ivysaur,Grass/Poison,5,15,8,45,,,30,,,,15,14,12,6,12,10,5,6,Venusaur,3,STR,,,"Athletics, Nature","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Overgrow,,Chlorophyll,"Starting Moves: Tackle, Growl, Leech Seed, Vine Whip
Level 6: Poison Powder, Sleep Powder, Take Down
Level 10: Razor Leaf, Sweet Scent
Level 14: Growth, Double-Edge, Worry Seed
Level 18: Synthesis, Solar Beam

TM: 01, 06, 09, 10, 11, 16, 17, 20, 21, 22, 27, 32, 36, 42, 44, 45, 48, 49, 53, 75, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Chlorophyll","Ivysaur can evolve into Venusaur at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
3,3,3,Venusaur,Grass/Poison,13,16,12,102,,,30,,,,19,17,14,6,14,10,10,14,,3,STR,CON,,"Athletics, Nature","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Overgrow,,Chlorophyll,"Starting Moves: Tackle, Growl, Leech Seed, Vine Whip, Petal Dance, Poison Powder, Sleep Powder, Take Down, Razor Leaf, Sweet Scent
Level 14: Growth, Double-Edge, Worry Seed
Level 18: Synthesis, Solar Beam, Petal Blizzard

TM: 01, 05, 06, 09, 10, 11, 15, 16, 17, 20, 21, 22, 26, 27, 32, 36, 42, 44, 45, 48, 49, 53, 68, 75, 78, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Chlorophyll",,,,,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy
4,1,3,Charmander,Fire,0.5,13,6,16,,,30,,,,12,14,11,6,10,10,1,,Charmeleon,3,DEX,,,Acrobatics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Blaze,,Solar Power,"Starting Moves: Growl, Scratch
Level 2: Ember, Smokescreen
Level 6: Dragon Rage, Scary Face
Level 10: Fire Fang, Slash
Level 14: Flame Burst, Flamethrower
Level 18: Fire Spin, Inferno

TM: 01, 02, 06, 10, 11, 17, 21, 27, 31, 32, 35, 38, 39, 40, 42, 43, 44, 45, 48, 49, 50, 56, 61, 65, 75, 80, 87, 88, 90, 100

Abilities: Blaze
Hidden Ability: Solar Power","Charmander can evolve into Charmeleon at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
5,2,3,Charmeleon,Fire,5,14,8,40,,,30,,,,14,16,11,6,12,10,5,6,Charizard,3,DEX,,,Acrobatics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Blaze,,Solar Power,"Starting Moves: Growl, Scratch, Ember, Smokescreen
Level 6: Dragon Rage
Level 10: Scary Face
Level 14: Fire Fang, Flame Burst, Slash
Level 18: Flamethrower, Fire Spin, Inferno

TM: 01, 02, 06, 10, 11, 17, 21, 27, 31, 32, 35, 38,39, 40,42, 43, 44, 45, 48, 49, 50, 56, 61, 65, 75, 80, 87, 88, 90, 100

Abilities: Blaze
Hidden Ability: Solar Power","Charmeleon can evolve into Charizard at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames."
6,3,3,Charizard,Fire/Flying,13,16,12,102,,,30,,30,,16,19,15,6,14,10,10,14,,3,DEX,STR,,"Acrobatics, Athletics","Bug, Fairy, Fighting, Fire, Grass, Steel","Electric, Rock, Water",Ground,Blaze,,Solar Power,"Starting Moves: Growl, Air Slash, Scratch, Ember, Dragon Claw, Shadow Claw, Wing Attack, Smokescreen, Dragon Rage, Scary Face
Level 14: Fire Fang, Flame Burst, Slash
Level 18: Flamethrower, Fire Spin, Heat Wave, Inferno, Flare Blitz

TM: 01, 02, 05, 06, 10, 11, 15, 17, 19, 21, 22, 26, 27, 31, 32, 35, 28, 29, 40, 42, 43, 44, 45, 48, 49, 50, 51,52, 56, 58, 59, 61, 65, 68, 75, 76, 78, 80, 82, 87, 88, 90, 100

Abilities: Blaze
Hidden Ability: Solar Power",,,,,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
7,1,3,Squirtle,Water,0.5,14,6,18,,,30,20,,,12,11,14,6,10,10,1,,Wartortle,3,CON,,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Rain Dish,"Starting Moves: Tackle, Tail Whip
Level 2: Water Gun, Withdraw
Level 6: Bubble, Bite, Rapid Spin
Level 10: Protect, Water Pulse
Level 14: Aqua Tail, Skull Bash, Iron Defense
Level 18: Rain Dance, Hydro Pump

TM: 01, 05, 07, 08, 09, 10, 12, 13, 15, 19, 22, 25, 27, 29, 34, 35, 39, 47, 51, 55

Abilities: Torrent
Hidden Ability: Rain Dish","Squirtle can evolve into Wartortle at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,Shoots water at prey while in the water. Withdraws into its shell when in danger.
8,2,3,Wartortle,Water,5,15,8,50,,,30,30,,,14,12,15,6,12,10,5,6,Blastoise,3,CON,,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Rain Dish,"Starting Moves: Tackle, Tail Whip, Water Gun, Withdraw
Level 6: Bubble, Bite
Level 10: Rapid Spin, Protect
Level 14: Water Pulse, Aqua Tail, Skull Bash
Level 18: Iron Defense, Rain Dance, Hydro Pump

TM: 01, 06, 07, 10, 13, 14, 17, 18, 21, 27, 31, 32, 39, 42, 44, 45, 48, 55, 56, 74, 87, 88, 90, 94, 98, 100

Abilities: Torrent
Hidden Ability: Rain Dish","Wartortle can evolve into Blastoise at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit."
9,3,3,Blastoise,Water,13,17,12,122,,,30,30,,,17,14,19,6,14,10,10,14,,3,CON,STR,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Rain Dish,"Starting Moves: Tackle, Flash Cannon, Tail Whip, Water Gun, Withdraw, Bubble, Bite, Rapid Spin, Protect
Level 14: Water Pulse, Aqua Tail, Skull Bash
Level 18: Iron Defense, Rain Dance, Hydro Pump

TM: 01, 05, 06, 07, 10, 13, 14, 15, 17, 18, 21, 23, 26, 27, 31, 32, 39, 42, 44, 45, 48, 52, 55, 56, 68, 74, 78, 80, 82, 87, 88, 90, 91, 94, 97, 98, 100

Abilities: Torrent
Hidden Ability: Rain Dish",,,,,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
10,1,3,Caterpie,Bug,0.125,11,6,15,,,20,,,,9,10,8,6,10,14,1,,Metapod,3,,,,,"Grass, Ground, Fighting","Fire, Flying, Rock",,Shield Dust,,Run Away,"Starting Moves: String Shot, Tackle
Level 2: Bug Bite


Abilities: Shield Dust
Hidden Ability: Run Away","Caterpie can evolve into Metapod at level 4 and above. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,20,,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
